64, 0.05789900, 0.23548500
128, 0.07730200, 0.46415599
200, 0.11417000, 0.73097700
256, 0.17834000, 0.89873299
512, 0.28116200, 1.74849100
600, 0.32684700, 2.09828200
800, 0.44369800, 2.71557500
1024, 0.55182000, 3.53999399
2000, 1.06305400, 6.77220699
3000, 1.56541800, 10.01259599
4096, 2.12987200, 13.73693400
6000, 3.10578300, 20.00836300
7000, 3.65647800, 23.44053499
10000, 5.19003300, 33.20309999
50000, 25.61375900, 164.78376899
100000, 50.65819400, 328.86033299
1000000, 502.30423600, 3285.71235999
10000000, 5021.90133000, 32825.27935199
100000000, 50145.36670700, 328023.91243699
