64,,2232.4695,0,505.7613,0,2879.8222,0,2879.8222,0
64,,2229.0034,0,516.9436,0,2886.6110,0
128,,2504.4561,0,499.1788,0,2774.2932,0
200,,2690.0144,0,514.8900,0,2848.8064,0
256,,2837.2087,0,531.5869,0,2288.5061,0
512,,,,,,,
64,,2240.3326,0,517.7082,0,2881.2052,0
128,,2627.6555,0,494.3665,0,2978.9103,0
200,,2800.4373,0,494.0236,0,2936.2179,0
256,,2886.5130,0,532.9778,0,2950.0276,0
512,,3061.5115,0,503.4417,0,2995.3873,0
64,,2255.7251,0,452.3417,0,2811.6871,0
128,,2636.1373,0,502.7317,0,3000.0669,0
200,,,,,,,
256,,,,,,,
64,,2218.7492,0,509.9203,0,2854.6139,0
128,,2571.9203,0,504.3308,0,2919.6914,0
200,,2698.5132,0,540.7033,0,2874.0171,0
256,,,,,,,
512,,,,,,,
