64,0.01202600,0.02791699
128,0.02503500,0.05693899
200,0.03953800,0.12482299
256,0.06251600,0.14173699
512,0.09561500,0.22598899
600,0.11672000,0.26746599
800,0.15464000,0.35078599
1024,0.19509900,0.45348899
2000,0.38542300,0.91649199
3000,0.56988900,1.34563399
4096,0.81179300,1.80315699
6000,1.18575900,2.55222299
7000,1.32151100,3.01678799
10000,1.99261500,4.30949199
50000,9.45891700,21.34521399
100000,18.64063300,42.47829199
1000000,183.84512500,422.14347299
10000000,1833.15941400,4212.84547899
100000000,18295.34240100,42103.39819999
