64,23577.3727,10474.0038
128,24909.1146,11616.1153
200,27050.1827,10722.9137
256,24633.1392,10142.2801
512,16844.8799,10154.5516
600,24094.4585,10778.6025
800,24446.0679,10829.0215
1024,23427.4764,11295.9950
2000,27896.9002,10838.0109
3000,23653.3381,11236.2112
4096,24135.1481,10974.1083
6000,24224.1348,9920.6467
7000,26851.9522,11541.1339
10000,26720.8161,10163.1129
50000,23973.4586,11297.1660
100000,25157.7995,10338.8078
1000000,23988.2076,9766.7407
10000000,24851.3257,10287.3758
100000000,27171.5399,10243.9711
