64,0.00124700,0.00561600
128,0.00126000,0.00556400
200,0.00146000,0.00561800
256,0.00115000,0.00555400
512,0.00127400,0.00557400
600,0.00121400,0.00549900
800,0.00123700,0.00565100
1024,0.00139900,0.00551700
2000,0.00125500,0.00588800
3000,0.00119800,0.00564600
4096,0.00124300,0.00570600
6000,0.00125200,0.00569800
7000,0.00125000,0.00571200
10000,0.00123200,0.00581300
50000,0.00158100,0.00608000
100000,0.00158300,0.00650700
1000000,0.00135800,0.00692100
10000000,0.00158400,0.00703000
100000000,0.00148400,0.00707500
