64,5064.6406,2258.5402
128,2669.2733,1313.5264
200,1990.1978,945.2940
256,1637.0685,710.0631
512,974.9837,440.6448
600,942.4759,428.5712
800,786.0688,348.9845
1024,711.8743,323.0652
2000,531.6995,231.8165
3000,473.6310,213.9734
4096,426.6189,199.2102
6000,396.3967,172.9610
7000,418.1597,176.0885
10000,275.2711,119.5630
50000,223.6590,99.5759
100000,223.3562,110.2592
1000000,340.7850,143.8952
10000000,342.0715,141.3555
100000000,338.2919,141.5413
