64,711.5072,0,2448.4079,0,3048.8722,0,5773.2840,0
100,1080.8129,0,2287.4790,0,4007.6802,0,5453.4684,0
128,1327.5892,0,1752.4823,0,4227.4893,0,3940.8051,0
200,1585.9683,0,1958.8032,0,4293.1514,0,4622.4129,0
256,1677.0747,0,1128.8319,0,4863.0208,0,2641.0907,0
512,1559.4295,0,904.6109,0,3509.4630,0,2072.1554,0
600,1809.2730,0,1901.0428,0,3576.3346,0,4077.7491,0
900,1868.2195,0,1608.5686,0,4057.0511,0,3999.5786,0
1024,1765.7739,0,440.5908,0,4031.1583,0,1182.3145,0
2000,1837.2754,0,1214.2019,0,3494.8658,0,3472.5463,0
2048,1843.8816,0,313.5947,0,3370.8819,0,1113.2086,0
3000,1825.3192,0,1226.4594,0,3784.5962,0,3409.9822,0
4000,1832.5497,0,1038.9855,0,3909.8769,0,3106.9688,0
