64,0.516582,0.807217,0.810360,0.899395
100,0.454049,1.359646,0.365920,0.699437
128,0.060563,2.498926,0.512244,1.630674
200,0.937365,9.211244,0.240960,3.694346
256,0.421311,30.034856,0.079438,12.731268
512,0.494332,296.624142,0.803693,130.740242
600,0.719320,229.899549,1.177957,98.765911
900,1.765016,918.925766,0.566886,379.427439
1024,2.054640,4911.223605,1.046768,1838.330475
2000,4.899456,13164.607850,2.711829,4631.484322
2048,5.429823,55084.816588,3.088872,15381.663661
3000,10.599729,43913.576866,5.608425,15776.177506
4000,18.322848,124067.647549,9.053504,41256.225856
