64,14253.9862,907.3920,30664.5808,1740.6687
100,11676.1884,450.3860,29032.4671,1137.3549
128,12217.7701,8917.6714,27998.5873,2917.1649
200,11533.6085,5231.8519,20918.3639,4148.1046
256,12783.4648,66488.4175,23948.7412,23682.2346
512,14227.9731,55464.2012,28732.9159,19646.3586
600,14346.7177,14138.1647,29790.5180,6532.8362
900,14313.0614,8836.0740,30922.0371,13638.7000
1024,14198.5608,36847.1682,32729.0162,21388.7544
2000,14938.7690,16500.9065,31345.8204,36767.9514
2048,14983.1733,15508.6933,28670.1470,18570.5127
3000,14597.3979,22115.0323,30338.7629,38026.1786
4000,14672.6195,38626.2229,31018.4240,33762.2315
